url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-at-bsiv-cars-New-Delhi_a527673f-ed61-4226-b01b-e1d96c00834c.htm,2020 MG Hector Sharp AT BSIV,₹11.45 LakhMake Your Offer,Jul 2020,Zero Dep,Petrol,5 Seats,"45,000 Kms",First Owner,1451 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-diesel-at-bsvi-cars-New-Delhi_5c1a753c-d96e-4b91-8579-5f863d047eee.htm,2021 Hyundai Creta SX Diesel AT BSVI,₹10.90 LakhMake Your Offer,Jul 2021,-,Diesel,5 Seats,"66,000 Kms",First Owner,1493 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Tata-harrier-xza-at-bsvi-cars-New-Delhi_2e5f8a1a-98e9-4cc3-b8c0-0f72340efe16.htm,2021 Tata Harrier XZA AT BSVI,₹11.85 LakhMake Your Offer,Aug 2021,-,Diesel,5 Seats,"64,000 Kms",First Owner,1956 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_1fa5978b-fa05-4b4b-95fb-123b16240ca0.htm,2022 Mahindra Thar LX 4WD Hard Top AT BSVI,₹12.49 LakhMake Your Offer,May 2022,Comprehensive,Petrol,4 Seats,"17,000 Kms",First Owner,1997 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-dct-cars-New-Delhi_3acfb4d1-11fb-4c06-8ea8-81c5e30f7715.htm,2020 Kia Seltos GTX Plus DCT,₹11 LakhMake Your Offer,Jul 2020,Comprehensive,Petrol,5 Seats,"40,000 Kms",First Owner,1353 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-sx-automatic-diesel-cars-New-Delhi_8cf90a7a-016b-4b0e-8a80-6d23f4f6775c.htm,2020 Hyundai Creta 1.6 SX Automatic Diesel,₹11.50 LakhMake Your Offer,Oct 2020,Zero Dep,Diesel,5 Seats,"83,000 Kms",First Owner,1582 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-dct-cars-New-Delhi_ce30f5d9-bb6b-4853-abfb-0a04a1bf276c.htm,2023 Kia Sonet HTX Turbo DCT,₹10.50 LakhMake Your Offer,Jul 2023,Comprehensive,Petrol,5 Seats,"32,000 Kms",First Owner,998 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-15-signature-o-7-seater-diesel-at-cars-New-Delhi_99edb34b-64cf-465c-8641-c64c27bda6d5.htm,2021 Hyundai Alcazar 1.5 Signature (O) 7-Seater Diesel AT,₹12.75 LakhMake Your Offer,Jan 2021,-,Diesel,7 Seats,"55,000 Kms",First Owner,1498 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Hyundai-venue-n-line-n8-turbo-dct-cars-New-Delhi_b9fec245-8f86-47c6-8700-3caad4c8b8cd.htm,2023 Hyundai Venue N Line N8 turbo DCT,₹10.75 LakhMake Your Offer,May 2023,Zero Dep,Petrol,5 Seats,"32,500 Kms",First Owner,998 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-ivt-cars-New-Delhi_7e5fbb68-fae2-43fb-8441-74badef21d11.htm,2023 Hyundai Verna SX IVT,₹12.50 LakhMake Your Offer,Feb 2023,Comprehensive,Petrol,5 Seats,"28,000 Kms",First Owner,1497 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-hard-top-at-rwd-cars-New-Delhi_68edc380-58c1-4c77-b592-0d2e41dcea04.htm,2024 Mahindra Thar LX Hard Top AT RWD,₹13.71 LakhMake Your Offer,Jan 2024,-,Petrol,4 Seats,"7,700 Kms",First Owner,1997 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-delta-cars-New-Delhi_9066fd68-a8b3-4c72-991f-99e1e231999d.htm,2024 Maruti Grand Vitara Delta,₹12.25 LakhMake Your Offer,Jan 2024,-,Petrol,5 Seats,"16,000 Kms",First Owner,1462 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s5-cars-New-Delhi_e4536d4d-ce9f-4fcf-a40f-7adbc44ec252.htm,2022 Mahindra Scorpio S5,₹11.75 LakhMake Your Offer,May 2022,-,Diesel,7 Seats,"44,000 Kms",First Owner,2179 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Skoda-slavia-10-tsi-style-at-bsvi-cars-New-Delhi_885b5fd0-0dea-4df2-af4a-8f2394cf5cfe.htm,2022 Skoda Slavia 1.0 TSI Style AT BSVI,₹11.40 LakhMake Your Offer,Jan 2023,Comprehensive,Petrol,5 Seats,"22,000 Kms",First Owner,999 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-plus-at-d-cars-New-Delhi_9dad1c2d-beb4-4f2d-a904-2a78a4ea5bc8.htm,2021 Kia Seltos HTK Plus AT D,₹12.50 LakhMake Your Offer,Nov 2021,-,Diesel,5 Seats,"47,000 Kms",First Owner,1493 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Maruti-jimny-alpha-cars-New-Delhi_d67f2dc3-bf2c-453c-aec1-d160547d29a6.htm,2023 Maruti Jimny Alpha,₹11.75 LakhMake Your Offer,Nov 2023,Zero Dep,Petrol,4 Seats,"19,000 Kms",First Owner,1462 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-New-Delhi_b4a668cb-9e8f-4190-80e7-7db07bd98575.htm,2021 MG Hector Sharp DCT,₹12.50 LakhMake Your Offer,Jan 2021,-,Petrol,5 Seats,"35,000 Kms",First Owner,1451 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Kia-carens-premium-cars-New-Delhi_943d1f31-364d-476c-8bb7-ce125737ea35.htm,2023 Kia Carens Premium,₹11.50 Lakh,2023,-,Petrol,7 Seats,"10,000 Kms",First Owner,1497 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-diesel-bsvi-cars-New-Delhi_56f79f77-cac8-4294-8ab6-3f921f144fed.htm,2022 Mahindra Thar LX 4WD Hard Top Diesel BSVI,₹13.50 Lakh,2022,-,Diesel,4 Seats,"30,000 Kms",First Owner,2184 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-15-tsi-gt-plus-dsg-cars-New-Delhi_5a6d4dcc-99e1-4fe2-a229-536e0eb8aa01.htm,2022 Volkswagen Taigun 1.5 TSI GT Plus DSG,₹13.50 LakhMake Your Offer,Jul 2022,Comprehensive,Petrol,5 Seats,"45,000 Kms",First Owner,1498 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Mg-astor-savvy-cvt-red-bsvi-cars-New-Delhi_1a1fb49c-c7d9-4a41-b14f-49c093505139.htm,2022 MG Astor Savvy CVT Red BSVI,₹10.45 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"54,000 Kms",First Owner,1498 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_0653fc95-a8bf-426e-bff0-eca609d840f2.htm,2022 Mahindra Thar LX 4WD Hard Top AT BSVI,₹13.75 LakhMake Your Offer,Jan 2022,-,Petrol,4 Seats,"39,000 Kms",First Owner,1997 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-opt-turbo-dct-cars-New-Delhi_c25ae86d-0439-4b74-b69c-d040ede0768c.htm,2021 Hyundai Creta SX Opt Turbo DCT,₹11.90 LakhMake Your Offer,Sept 2021,Comprehensive,Petrol,5 Seats,"48,000 Kms",First Owner,1397 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-executive-bsvi-cars-New-Delhi_ccbd1e31-5fd8-4cd7-9101-34ed1367d08f.htm,2021 Hyundai Creta SX Executive BSVI,₹11.99 LakhMake Your Offer,Jan 2021,-,Petrol,5 Seats,"17,500 Kms",First Owner,1497 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-gx-mt-8s-bsiv-cars-New-Delhi_ec3d1720-c698-4e84-91e3-a4913d8c1d65.htm,2019 Toyota Innova Crysta 2.4 GX MT 8S BSIV,₹13.50 LakhMake Your Offer,Jun 2019,Third Party,Diesel,8 Seats,"90,000 Kms",First Owner,2393 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_ac57ab58-05cb-4ed2-af9a-20ef5c43f1e7.htm,2023 Mahindra Thar LX 4WD Hard Top AT BSVI,₹12.85 LakhMake Your Offer,Oct 2023,Comprehensive,Petrol,4 Seats,"29,000 Kms",First Owner,1997 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-opt-ivt-bsvi-cars-New-Delhi_c4c58b54-e6f3-4c89-b180-6164b0782b3c.htm,2021 Hyundai Creta SX Opt IVT BSVI,₹13.60 LakhMake Your Offer,Jul 2021,Zero Dep,Petrol,5 Seats,"40,000 Kms",First Owner,1497 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Kia-carens-prestige-plus-dct-bsvi-cars-New-Delhi_7447eecc-0f90-435b-93f3-cf66dfac69d0.htm,2023 Kia Carens Prestige Plus DCT BSVI,₹13.50 LakhMake Your Offer,May 2023,Comprehensive,Petrol,7 Seats,"32,563 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-g-cars-New-Delhi_4cfc86eb-a299-4ef7-8a8d-6370ab5feb78.htm,2021 Kia Seltos HTX IVT G,₹11.50 LakhMake Your Offer,May 2021,-,Petrol,5 Seats,"67,000 Kms",First Owner,1497 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Honda-city-vx-cvt-cars-New-Delhi_18daa1a6-a480-49c5-b362-2f96f1683790.htm,2022 Honda City VX CVT,₹12.50 LakhMake Your Offer,Aug 2022,Comprehensive,Petrol,5 Seats,"13,000 Kms",First Owner,1498 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-cars-New-Delhi_accf3837-c17c-41cf-90e3-02bcc2d756de.htm,2021 Kia Seltos GTX Plus,₹12.75 LakhMake Your Offer,Jan 2021,-,Petrol,5 Seats,"48,292 Kms",First Owner,1353 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Tata-curvv-pure-plus-s-diesel-dca-cars-New-Delhi_094aafe4-92cd-4289-b6b0-31366cc3dc4e.htm?adId=13580&adType=41,2025 Tata Curvv Pure Plus S Diesel DCA,₹15 Lakh,2025,-,Diesel,5 Seats,"5,000 Kms",Second Owner,1497 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Toyota-rumion-g-at-cars-New-Delhi_84f918c1-cb38-44f0-bba8-5d0fc95ff43a.htm?adId=13658&adType=41,2025 Toyota Rumion G AT,₹11.50 Lakh,2025,-,Petrol,7 Seats,"4,500 Kms",First Owner,1462 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-New-Delhi_803260ac-7791-463a-a036-5afc7124beec.htm,2021 MG Hector Sharp DCT,₹12.25 LakhMake Your Offer,Mar 2021,Third Party,Petrol,5 Seats,"46,560 Kms",First Owner,1451 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-cars-New-Delhi_85609b09-2a19-4abd-95d8-7a8bc5e6d243.htm,2022 Kia Seltos HTX IVT,₹12.50 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"62,000 Kms",First Owner,1497 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-bsvi-cars-New-Delhi_5f15b78b-fb12-414c-9daf-06b951762a67.htm,2022 Mahindra Thar LX 4WD Hard Top BSVI,₹12.35 LakhMake Your Offer,Jun 2022,Comprehensive,Petrol,4 Seats,"38,000 Kms",First Owner,1997 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Toyota-hyryder-e-cars-New-Delhi_7c7ba3ee-cb73-49e0-a294-dd390630c934.htm,2023 Toyota Hyryder E,₹11.25 LakhMake Your Offer,Jan 2023,-,Petrol,5 Seats,"28,000 Kms",First Owner,1462 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s5-cars-New-Delhi_b4278c74-4fbe-4203-9d6b-0dea122b5001.htm?adId=18366&adType=41,2022 Mahindra Scorpio S5,₹11.75 LakhMake Your Offer,May 2022,Comprehensive,Diesel,7 Seats,"45,800 Kms",First Owner,2179 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-10-tsi-topline-bsvi-cars-New-Delhi_8188ef49-819b-4cfb-82c9-76c978f92975.htm,2023 Volkswagen Taigun 1.0 TSI Topline BSVI,₹10.50 LakhMake Your Offer,Jan 2023,Comprehensive,Petrol,5 Seats,"21,000 Kms",First Owner,999 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Maruti-ertiga-zxi-cng-cars-New-Delhi_54da43aa-074a-4a41-8b59-d0a34e017f55.htm,2022 Maruti Ertiga ZXI CNG,₹10.30 Lakh,2022,Zero Dep,CNG,7 Seats,"80,000 Kms",First Owner,1462 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Mg-astor-savvy-cvt-red-bsvi-cars-New-Delhi_41052a8a-4c35-4782-815c-a03bad771972.htm,2021 MG Astor Savvy CVT Red BSVI,₹10.95 LakhMake Your Offer,Jan 2021,-,Petrol,5 Seats,"15,000 Kms",,1498 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-plus-turbo-dct-2022-2023-cars-New-Delhi_5f334c2f-4927-45c9-9e5d-8472422e0959.htm,2022 Kia Carens Luxury Plus Turbo DCT 2022-2023,₹14.40 LakhMake Your Offer,Aug 2022,Comprehensive,Petrol,7 Seats,"38,000 Kms",First Owner,1353 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-dct-cars-New-Delhi_415c0197-79c2-4288-a529-322471c932a3.htm?adId=18525&adType=41,2020 Kia Seltos GTX Plus DCT,₹12 Lakh,2020,-,Petrol,5 Seats,"61,500 Kms",First Owner,1353 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-cvt-cars-New-Delhi_2912b935-8712-4bad-bf6d-cb46b5eef232.htm,2022 MG Hector Plus Sharp CVT,₹12.49 LakhMake Your Offer,Sept 2022,Comprehensive,Petrol,6 Seats,"42,000 Kms",First Owner,1451 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-opt-turbo-dct-cars-New-Delhi_09ea86e5-168c-4451-a9fe-b28756c51f61.htm,2023 Hyundai Venue S Opt Turbo DCT,₹10.75 LakhMake Your Offer,Jan 2023,-,Petrol,5 Seats,"46,000 Kms",First Owner,998 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-cars-New-Delhi_80d1b79a-9893-4f76-8ce6-b7c37724421f.htm,2022 Maruti Baleno Zeta,₹6.40 LakhMake Your Offer,Sept 2022,Comprehensive,Petrol,5 Seats,"47,000 Kms",First Owner,1197 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-bsvi-cars-New-Delhi_32ab8ff2-0048-49da-a366-ce8f8fe15ff7.htm,2022 Kia Sonet HTK Plus BSVI,₹7.83 LakhMake Your Offer,Dec 2022,Comprehensive,Petrol,5 Seats,"28,000 Kms",First Owner,1197 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Kia-seltos-htk-g-cars-New-Delhi_cb5eb0e3-176d-48c1-b51c-9cb01c284922.htm,2020 Kia Seltos HTK G,₹8.75 LakhMake Your Offer,Jun 2020,-,Petrol,5 Seats,"47,000 Kms",First Owner,1497 cc,Manual,2020
https://www.cardekho.com/used-car-details/used-Hyundai-creta-ex-diesel-bsvi-cars-New-Delhi_4f75a538-023e-40ce-90e9-03f90a3ab560.htm,2020 Hyundai Creta EX Diesel BSVI,₹9 LakhMake Your Offer,Dec 2020,Third Party,Diesel,5 Seats,"33,000 Kms",First Owner,1493 cc,Manual,2020
https://www.cardekho.com/used-car-details/used-Kia-seltos-hte-g-cars-New-Delhi_4d1345ff-f33e-4d2f-97f8-1cfcfa754252.htm?adId=17501&adType=41,2023 Kia Seltos HTE G,₹9.60 Lakh,2023,-,Petrol,5 Seats,"10,000 Kms",First Owner,1497 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-New-Delhi_16520f18-d5a7-47e3-b2f6-d7743f07b0e1.htm,2021 Kia Sonet HTX Turbo iMT BSVI,₹7.49 LakhMake Your Offer,Jun 2021,-,Petrol,5 Seats,"44,000 Kms",First Owner,998 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-New-Delhi_5327b114-8d88-43b8-9fb4-94b183693dbe.htm,2019 MG Hector Sharp DCT,₹9.90 LakhMake Your Offer,Mar 2020,Comprehensive,Petrol,5 Seats,"55,000 Kms",First Owner,1451 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Toyota-yaris-j-cvt-cars-New-Delhi_de27350d-1bfe-4231-a3ba-4be8809b9005.htm,2019 Toyota Yaris J CVT,₹6.60 LakhMake Your Offer,Jun 2019,-,Petrol,5 Seats,"68,000 Kms",First Owner,1496 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-cars-New-Delhi_7ad2231f-7e9a-4c7c-9a0a-b3cf16712bc2.htm,2023 Kia Sonet HTK,₹8.50 LakhMake Your Offer,Jan 2023,-,Petrol,5 Seats,"35,000 Kms",First Owner,1197 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-New-Delhi_d0345087-88f1-401b-b260-e882f9b679ac.htm,2020 MG Hector Sharp DCT,₹9.98 LakhMake Your Offer,Oct 2020,Comprehensive,Petrol,5 Seats,"52,293 Kms",First Owner,1451 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-plus-turbo-dct-bsiv-cars-New-Delhi_22c79176-07fc-49d0-a1da-c4edccd53ac9.htm?adId=17324&adType=41,2019 Hyundai Venue SX Plus Turbo DCT BSIV,₹6.60 Lakh,2019,Zero Dep,Petrol,5 Seats,"60,000 Kms",First Owner,998 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-v-cars-New-Delhi_90694c88-0e74-46e0-b4ff-4146547f00c3.htm,2018 Honda City i-VTEC V,₹5.65 LakhMake Your Offer,Mar 2018,Comprehensive,Petrol,5 Seats,"56,000 Kms",First Owner,1497 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-vxi-cars-New-Delhi_57cef594-0089-4136-88a4-848b28250bb2.htm,2020 Maruti Vitara Brezza VXI,₹5.85 LakhMake Your Offer,Aug 2020,-,Petrol,5 Seats,"58,000 Kms",First Owner,1462 cc,Manual,2020
https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-turbo-dct-bsiv-cars-New-Delhi_f29bdfb0-e424-4c4c-9774-1b5375b34ab1.htm,2019 Hyundai Venue S Turbo DCT BSIV,₹7.11 LakhMake Your Offer,Oct 2019,Comprehensive,Petrol,5 Seats,"65,000 Kms",First Owner,998 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Tata-nexon-kraz-plus-amt-diesel-cars-New-Delhi_2537cfae-eafc-41d3-a34b-89e1f631d4ed.htm,2019 Tata Nexon KRAZ Plus AMT Diesel,₹5.45 LakhMake Your Offer,Nov 2019,Comprehensive,Diesel,5 Seats,"58,127 Kms",First Owner,1497 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Tata-nexon-creative-plus-s-cars-New-Delhi_b9998978-13be-484a-b426-ae40d0d7fa85.htm?adId=15159&adType=41,2024 Tata Nexon Creative Plus S,₹9.97 Lakh,2024,-,Petrol,5 Seats,"10,000 Kms",First Owner,1199 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-cars-New-Delhi_199e438f-3acf-4cc9-9e68-3768886b8f76.htm,2024 Kia Sonet HTX Turbo iMT,₹9.95 LakhMake Your Offer,Jun 2024,Comprehensive,Petrol,5 Seats,"28,000 Kms",First Owner,998 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Hyundai-i20-14-asta-option-cars-New-Delhi_479826b7-fef2-4766-ba5a-6912b7535e8b.htm?adId=12220&adType=41,2018 Hyundai i20 1.4 Asta Option,₹5.75 LakhMake Your Offer,Sept 2018,-,Diesel,5 Seats,"91,000 Kms",First Owner,1396 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Renault-triber-rxt-bsvi-cars-New-Delhi_b277dd09-2672-4156-8b4a-6f7f8c13d436.htm,2022 Renault Triber RXT BSVI,₹5.25 LakhMake Your Offer,Aug 2022,Comprehensive,Petrol,7 Seats,"47,000 Kms",First Owner,999 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-plus-turbo-dct-cars-New-Delhi_059510a6-5825-4b7f-af56-99365a92f5b3.htm,2021 Hyundai Venue SX Plus Turbo DCT,₹8.98 LakhMake Your Offer,Oct 2021,Comprehensive,Petrol,5 Seats,"39,000 Kms",First Owner,998 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-turbo-imt-bsvi-cars-Noida_1678441e-fc4a-45e6-91bd-936502caff20.htm?adId=18540&adType=41,2020 Kia Sonet HTK Plus Turbo iMT BSVI,₹7.25 LakhMake Your Offer,Dec 2020,-,Petrol,5 Seats,"63,000 Kms",First Owner,998 cc,Manual,2020
https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-bsvi-cars-New-Delhi_5218d921-80c3-4190-abc6-297484b7ec5f.htm?adId=18331&adType=41,2022 Hyundai Venue S BSVI,₹5.90 Lakh,2022,Zero Dep,Petrol,5 Seats,"70,000 Kms",First Owner,1197 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Mahindra-bolero-power-plus-sle-cars-New-Delhi_ab2c85cf-831a-4628-a108-a893c5f9a5a9.htm,2018 Mahindra Bolero Power Plus SLE,₹5.80 LakhMake Your Offer,Oct 2018,Third Party,Diesel,7 Seats,"80,000 Kms",First Owner,1493 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-lxi-bsvi-cars-Faridabad_f04b16cc-aca0-4bea-971d-6db9509df603.htm?adId=14663&adType=41,2023 Maruti Swift Dzire LXI BSVI,₹5.45 LakhMake Your Offer,Sept 2023,Comprehensive,Petrol,5 Seats,"33,156 Kms",First Owner,1197 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-g-cars-New-Delhi_b98b4b21-8bb0-448f-9120-e45d47c3427a.htm,2021 Kia Seltos HTX G,₹9.64 LakhMake Your Offer,Jun 2021,-,Petrol,5 Seats,"72,000 Kms",First Owner,1497 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Tata-nexon-12-revotron-xe-cars-New-Delhi_034a71e5-3c89-43a3-b29e-ad9509c37867.htm,2019 Tata Nexon 1.2 Revotron XE,₹5.65 LakhMake Your Offer,Jan 2019,-,Petrol,5 Seats,"31,000 Kms",First Owner,1198 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_01320a39-ce69-456d-92a6-4b822aa30725.htm,2015 Honda City i VTEC CVT VX,₹5.25 LakhMake Your Offer,Aug 2015,-,Petrol,5 Seats,"46,000 Kms",First Owner,1497 cc,Automatic,2015
https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-bsiv-cars-New-Delhi_0437fc1a-80cf-4aea-a984-3ac606d3348d.htm,2018 Maruti Ciaz Delta BSIV,₹5.60 LakhMake Your Offer,Feb 2018,-,Petrol,5 Seats,"61,000 Kms",First Owner,1462 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Tata-nexon-15-revotorq-xm-cars-New-Delhi_f512647a-8216-4976-ac3c-7b28fc637ad6.htm,2019 Tata Nexon 1.5 Revotorq XM,₹5.25 LakhMake Your Offer,Jul 2019,Comprehensive,Diesel,5 Seats,"62,000 Kms",First Owner,1497 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_004b8980-e47b-42d3-b2e5-8171241b10f8.htm,2016 Honda City i VTEC CVT VX,₹5.49 LakhMake Your Offer,Aug 2016,Comprehensive,Petrol,5 Seats,"80,000 Kms",Second Owner,1497 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-diesel-at-cars-New-Delhi_cc4e5ac3-63b1-4be9-bcf3-729668bc3b95.htm,2023 Kia Sonet HTX Diesel AT,₹9.25 LakhMake Your Offer,Jan 2023,-,Diesel,5 Seats,"45,000 Kms",First Owner,1493 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-sx-automatic-cars-New-Delhi_e2472bb4-6f81-499f-ad31-8f60ee310edb.htm,2019 Hyundai Creta 1.6 SX Automatic,₹6.99 LakhMake Your Offer,Jul 2019,-,Petrol,5 Seats,"85,000 Kms",Second Owner,1591 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_b1864c99-a7ca-4117-91e8-9ddd05083344.htm,2016 Honda City i VTEC CVT VX,₹5.65 LakhMake Your Offer,Mar 2016,Third Party,Petrol,5 Seats,"79,000 Kms",First Owner,1497 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-g-cars-New-Delhi_92903662-c5f8-48ce-96d1-61d06137b77e.htm,2020 Kia Seltos HTX IVT G,₹9.95 LakhMake Your Offer,Sept 2020,Comprehensive,Petrol,5 Seats,"69,000 Kms",First Owner,1497 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Kia-sonet-gtx-plus-turbo-imt-bsvi-cars-New-Delhi_60188273-61ab-4ad4-a19d-1bac4ce10d94.htm,2021 Kia Sonet GTX Plus Turbo iMT BSVI,₹9.50 LakhMake Your Offer,Nov 2021,Comprehensive,Petrol,5 Seats,"48,000 Kms",First Owner,998 cc,Manual,2021
https://www.cardekho.com/used-car-details/used-Kia-carens-prestige-cars-New-Delhi_cb9796dd-ca0b-415f-a159-efd6cd1eb7ce.htm?adId=15762&adType=41,2023 Kia Carens Prestige,₹10 Lakh,2023,-,Petrol,7 Seats,"50,000 Kms",First Owner,1497 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-turbo-dct-bsiv-cars-New-Delhi_d0181e8f-fb87-4daf-b79a-aba8e38a5bbf.htm,2019 Hyundai Venue S Turbo DCT BSIV,₹6.99 LakhMake Your Offer,Oct 2019,Comprehensive,Petrol,5 Seats,"38,013 Kms",First Owner,998 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Audi-a6-28-fsi-cars-New-Delhi_89c5eb23-9b28-49f4-9018-73a2ff29f291.htm?adId=13759&adType=41,2011 Audi A6 2.8 FSI,₹6.50 LakhMake Your Offer,Jul 2011,-,Petrol,5 Seats,"69,000 Kms",Third Owner,2773 cc,Automatic,2011
